name,url,city,state,degree_levels,tuition,school_type
Trinity Bible College,http://www.trinitybiblecollege.edu,Ellendale,ND,"Associates Degree, Bachelors Degree, Masters Degree","$14,620","Private not-for-profit, 4-year or above"
Truckee Meadows Community College,http://www.tmcc.edu,Reno,NV,"Associates Degree, Certificate","$2,700","Public, 2-year"
Turtle Mountain Community College,http://www.tm.edu,Belcourt,ND,"Associates Degree, Bachelors Degree, Certificate","$2,250","Private not-for-profit, 4-year or above"
United Tribes Technical College,http://unitedtribestech.com,Bismarck,ND,"Associates Degree, Bachelors Degree, Certificate","$5,210","Private not-for-profit, 4-year or above"
University of Alaska Anchorage,http://www.uaa.alaska.edu,Anchorage,AK,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$5,494","Public, 4-year or above"
University of Alaska Fairbanks,http://www.uaf.edu,Fairbanks,AK,"Associates Degree, Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$5,246","Public, 4-year or above"
University of Alaska Southeast,http://www.uas.alaska.edu,Juneau,AK,"Associates Degree, Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$5,901","Public, 4-year or above"
University of Delaware,http://www.udel.edu/,Newark,DE,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree","$12,342","Public, 4-year or above"
University of Great Falls,http://www.ugf.edu,Great Falls,MT,"Associates Degree, Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$21,556","Private not-for-profit, 4-year or above"
University of Hawaii Maui College,http://maui.hawaii.edu,Kahului,HI,"Associates Degree, Bachelors Degree, Certificate","$2,862","Public, 4-year or above"
University of Hawaii at Hilo,http://hilo.hawaii.edu,Hilo,HI,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$7,036","Public, 4-year or above"
University of Hawaii at Manoa,http://manoa.hawaii.edu,Honolulu,HI,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate","$10,620","Public, 4-year or above"
University of Hawaii-West Oahu,http://uhwo.hawaii.edu,Kapolei,HI,Bachelors Degree,"$6,888","Public, 4-year or above"
University of Idaho,http://www.uidaho.edu,Moscow,ID,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,784","Public, 4-year or above"
University of Jamestown,http://www.uj.edu,Jamestown,ND,"Bachelors Degree, Doctoral Degree, Masters Degree","$19,170","Private not-for-profit, 4-year or above"
University of Maine,http://www.umaine.edu/,Orono,ME,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$10,606","Public, 4-year or above"
University of Maine at Augusta,http://www.uma.edu/,Augusta,ME,"Associates Degree, Bachelors Degree, Certificate","$7,448","Public, 4-year or above"
University of Maine at Farmington,http://www.umf.maine.edu,Farmington,ME,"Bachelors Degree, Masters Degree, Post-Bachelors Certificate","$9,217","Public, 4-year or above"
University of Maine at Fort Kent,http://www.umfk.maine.edu,Fort Kent,ME,"Associates Degree, Bachelors Degree, Certificate","$7,575","Public, 4-year or above"
University of Maine at Machias,http://machias.edu,Machias,ME,"Associates Degree, Bachelors Degree, Certificate","$7,490","Public, 4-year or above"
University of Maine at Presque Isle,http://www.umpi.edu/,Presque Isle,ME,"Associates Degree, Bachelors Degree, Certificate","$7,300","Public, 4-year or above"
University of Mary,http://www.umary.edu/,Bismarck,ND,"Bachelors Degree, Doctoral Degree, Masters Degree","$15,665","Private not-for-profit, 4-year or above"
University of Nevada-Las Vegas,http://www.unlv.edu/,Las Vegas,NV,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,710","Public, 4-year or above"
University of Nevada-Reno,http://www.unr.edu/,Reno,NV,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$6,610","Public, 4-year or above"
University of New England,http://www.une.edu/,Biddeford,ME,"Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$34,080","Private not-for-profit, 4-year or above"
University of New Hampshire at Manchester,http://manchester.unh.edu,Manchester,NH,"Associates Degree, Bachelors Degree","$13,768","Public, 4-year or above"
University of New Hampshire-Main Campus,http://www.unh.edu,Durham,NH,"Associates Degree, Bachelors Degree, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$16,552","Public, 4-year or above"
University of New Hampshire-School of Law,http://law.unh.edu,Concord,NH,"Doctoral Degree, Masters Degree",N/A,"Public, 4-year or above"
University of North Dakota,http://und.edu,Grand Forks,ND,"Bachelors Degree, Certificate, Doctoral Degree, Masters Degree, Post-Bachelors Certificate, Post-Masters Certificate","$7,741","Public, 4-year or above"
University of Phoenix-Hawaii,http://www.phoenix.edu,Honolulu,HI,"Bachelors Degree, Certificate, Masters Degree, Post-Bachelors Certificate","$10,398","Private for-profit, 4-year or above"
University of Phoenix-Idaho,http://www.phoenix.edu,Meridian,ID,"Bachelors Degree, Certificate, Masters Degree","$9,965","Private for-profit, 4-year or above"
