school_name,wm_source,wm_category,wm_rank,wm_social_mobility_rank,wm_research_rank,wm_service_rank,wm_grad_rate_8yr,wm_pell_graduates,wm_net_price
Whitman College,bang4buck,West,131,,,,,,
Wayland Baptist University,bang4buck,South,131,,,,,,
Indiana University–Southeast (IN)*,bang4buck,Midwest,131,,,,,,
Strayer Univ.–North Carolina (NC)°,bang4buck,Southeast,132,,,,,,
DigiPen Institute of Tech. (WA)°,bang4buck,West,132,,,,,,
East Tennessee State University (TN)*,bang4buck,South,132,,,,,,
Saint John's University,bang4buck,Midwest,132,,,,,,
Assumption College,bang4buck,Northeast,132,,,,,,
Southwestern College,main,Bachelor's Colleges,132,100.0,0.0,0.1517151,0.4387798,-0.0195105,23941.82
Santa Clara University,main,National Universities,132,76.0,3.349667,0.0021248,0.9171172,0.0204607,26060.11
Stetson University,main,Master's Universities,132,308.0,0.6203333,0.0130471,0.6320654,-0.0609765,20900.08
Hendrix College,main,Liberal Arts Colleges,132,156.0,0.6696666,0.0799121,0.6754683,-0.1185613,13303.98
Rollins College,bang4buck,Southeast,133,,,,,,
Langston University (OK)*,main,Master's Universities,133,215.0,9.078333,0.4125087,0.3284279,-0.0510303,11348.44
Chaminade Univ. of Honolulu,bang4buck,West,133,,,,,,
New Jersey City University (NJ)*,bang4buck,Northeast,133,,,,,,
Transylvania University,main,Liberal Arts Colleges,133,132.0,0.0,0.0548586,0.7192795,-0.0922931,20415.81
